"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","OR","OR_lower","OR_upper"
"finn-b-KRA_PSY_ANXIETY","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Anxiety disorders || id:finn-b-KRA_PSY_ANXIETY","Inverse variance weighted (fixed effects)",41,0.00101653584798872,0.00543006428450849,0.851499808895539,1.00101705269567,0.990419795225719,1.01172769831318
"finn-b-KRA_PSY_ANXIETY","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Anxiety disorders || id:finn-b-KRA_PSY_ANXIETY","Weighted median",41,0.00709837248330408,0.00785145393693002,0.365950956148904,1.00712362564602,0.991743793999611,1.02274196568834
"finn-b-KRA_PSY_ANXIETY","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Anxiety disorders || id:finn-b-KRA_PSY_ANXIETY","MR Egger (bootstrap)",41,-0.00237297957562234,0.0152271217556502,0.44,0.997629833714677,0.968295336821693,1.0278530188779
