"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"ukb-b-6991","ieu-a-2","Body mass index || id:ieu-a-2","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Inverse variance weighted (fixed effects)",132,0.189641022961851,0.0617694950649193,0.00213958157412062
"ukb-b-6991","ieu-a-2","Body mass index || id:ieu-a-2","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Weighted median",132,0.185879429051746,0.102643522098034,0.0701529013237664
