"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","OR","OR_lower","OR_upper"
"ukb-b-6991","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Inverse variance weighted (fixed effects)",182,0.173880921134424,0.029604895715635,4.26987816860514e-09,1.18991386379064,1.12283341505462,1.2610018407515
"ukb-b-6991","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Weighted median",182,0.194593432641788,0.045477244147741,1.87803397921347e-05,1.21481698114258,1.11121947023274,1.32807274998814
"ukb-b-6991","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","MR Egger (bootstrap)",182,0.103724129414403,0.0966237403290165,0.132,1.10929439100726,0.917907733456304,1.34058577030035
