"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","OR","OR_lower","OR_upper"
"ukb-b-17243","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Non-cancer illness code, self-reported: anxiety/panic attacks || id:ukb-b-17243","Inverse variance weighted (fixed effects)",12,0.431799030137173,0.512520820652963,0.399507879074962,1.54002558532845,0.563977016984066,4.20527562656555
"ukb-b-17243","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Non-cancer illness code, self-reported: anxiety/panic attacks || id:ukb-b-17243","Weighted median",12,1.31300533292466,0.685206135289034,0.0553371669529297,3.71732875200013,0.970446802657393,14.2393514127794
"ukb-b-17243","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Non-cancer illness code, self-reported: anxiety/panic attacks || id:ukb-b-17243","MR Egger (bootstrap)",12,0.48997947426719,2.01606228020025,0.39,1.63228271581264,0.0313825712806158,84.8989345237743
