"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","OR","OR_lower","OR_upper"
"ieu-a-1187","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Major Depressive Disorder || id:ieu-a-1187","Inverse variance weighted (fixed effects)",32,0.0190682895343914,0.0119509976121768,0.110591629723801,1.01925125043416,0.995653806369239,1.04340796456147
"ieu-a-1187","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Major Depressive Disorder || id:ieu-a-1187","Weighted median",32,0.0222761963284657,0.0169026637902955,0.187533645176997,1.02252616344473,0.989205656889286,1.05696904141948
"ieu-a-1187","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Major Depressive Disorder || id:ieu-a-1187","MR Egger (bootstrap)",32,-0.0122116435758154,0.0550265079362958,0.418,0.987862615959247,0.886864031141848,1.10036320534209
