"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","OR","OR_lower","OR_upper"
"ukb-b-6991","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Inverse variance weighted (fixed effects)",182,0.173880921134424,0.029604895715635,4.26987816860514e-09,1.18991386379064,1.12283341505462,1.2610018407515
"ukb-b-6991","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Weighted median",182,0.194593432641788,0.0425848621989316,4.88784841256383e-06,1.21481698114258,1.11753693982591,1.32056511519186
"ukb-b-6991","ukb-b-16118","Neck/shoulder pain for 3+ months || id:ukb-b-16118","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","MR Egger (bootstrap)",182,0.10446775157528,0.0948017745477233,0.133,1.11011959368082,0.921876763470843,1.33680071036203
