"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"ukb-b-6991","ieu-b-35","C-Reactive protein level || id:ieu-b-35","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Inverse variance weighted (fixed effects)",133,0.0640529235841121,0.0623612479782604,0.304360651111941
"ukb-b-6991","ieu-b-35","C-Reactive protein level || id:ieu-b-35","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Weighted median",133,0.266115640905,0.0974438936091437,0.0063149614231945
