"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"ukb-b-6991","ukb-b-3957","Sleeplessness / insomnia || id:ukb-b-3957","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Inverse variance weighted (fixed effects)",182,0.416641458692742,0.0219186950850198,1.45047983404057e-80
"ukb-b-6991","ukb-b-3957","Sleeplessness / insomnia || id:ukb-b-3957","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Weighted median",182,0.352632997136771,0.0362981858727583,2.60522134570785e-22
